Protein,Cluster
ABCA2,mclust1
ABCC10,mclust1
ABCD4,mclust1
ABHD13,mclust1
ABHD17C,mclust1
ACPL2,mclust1
ANGEL1,mclust1
AP1AR,mclust1
ARFRP1,mclust1
ARL8A,mclust1
ARL8B,mclust1
ATG9A,mclust1
ATL2,mclust1
ATL3,mclust1
ATP11B,mclust1
ATP13A2,mclust1
ATP2C1,mclust1
ATP6V0A1,mclust1
ATP6V0A2,mclust1
ATP6V0D1,mclust1
ATP7B,mclust1
ATP9A,mclust1
ATP9B,mclust1
B3GALT6,mclust1
B3GAT3,mclust1
B3GNT1,mclust1
B3GNT2,mclust1
B4GALT1,mclust1
B4GALT3,mclust1
B4GALT4,mclust1
B4GALT5,mclust1
BACE2,mclust1
BET1,mclust1
BET1L,mclust1
C17orf59,mclust1
C1GALT1,mclust1
C1GALT1C1,mclust1
C3orf58,mclust1
C5orf15,mclust1
C6orf47,mclust1
CANT1,mclust1
CASC4,mclust1
CCDC14,mclust1
CCDC61,mclust1
CCDC77,mclust1
CD63,mclust1
CHPF,mclust1
CHST11,mclust1
CHST12,mclust1
CHST14,mclust1
CHST3,mclust1
CHSY1,mclust1
CLCN2,mclust1
CLCN3,mclust1
CLCN5,mclust1
CLCN6,mclust1
CLCN7,mclust1
CLN3,mclust1
CPD,mclust1
DAGLB,mclust1
DHX30,mclust1
DNAJC13,mclust1
DNAJC5,mclust1
DZIP3,mclust1
EBAG9,mclust1
ECE1,mclust1
ECT2,mclust1
EFCAB14,mclust1
ENDOD1,mclust1
ENTPD4,mclust1
ENTPD6,mclust1
ERGIC1,mclust1
ERGIC2,mclust1
ERGIC3,mclust1
ESYT1,mclust1
ESYT2,mclust1
EXTL3,mclust1
FAM134A,mclust1
FAM134C,mclust1
FAM177A1,mclust1
FAM3C,mclust1
FAM47E-STBD1,mclust1
FAM69A,mclust1
FASTK,mclust1
FKRP,mclust1
FKTN,mclust1
FRRS1,mclust1
FURIN,mclust1
FUT8,mclust1
GALNT1,mclust1
GALNT10,mclust1
GALNT11,mclust1
GALNT2,mclust1
GALNT7,mclust1
GBA,mclust1
GCNT1,mclust1
GINM1,mclust1
GLCE,mclust1
GLG1,mclust1
GLT8D1,mclust1
GNPTAB,mclust1
GOLGA2,mclust1
GOLGA5,mclust1
GOLGB1,mclust1
GOLIM4,mclust1
GOLM1,mclust1
GOLT1B,mclust1
GORASP1,mclust1
GORASP2,mclust1
GOSR1,mclust1
GPR107,mclust1
GPR108,mclust1
GPR180,mclust1
GPRC5A,mclust1
HERC2,mclust1
HS2ST1,mclust1
HS6ST2,mclust1
IGF2R,mclust1
IL13RA1,mclust1
IMPAD1,mclust1
INPP5K,mclust1
ITFG1,mclust1
ITM2B,mclust1
ITM2C,mclust1
JTB,mclust1
KIAA0319L,mclust1
KIAA0753,mclust1
KIAA1147,mclust1
KIAA1467,mclust1
KIAA1919,mclust1
LAMA5,mclust1
LAMP1,mclust1
LAMP2,mclust1
LAMTOR1,mclust1
LAMTOR3,mclust1
LAPTM4A,mclust1
LDLR,mclust1
LEPROTL1,mclust1
LMAN1,mclust1
LMAN2,mclust1
LMAN2L,mclust1
LMBRD1,mclust1
LMBRD2,mclust1
LMTK2,mclust1
LNPEP,mclust1
LOH12CR1,mclust1
LRCH4,mclust1
LRP1,mclust1
LRP10,mclust1
LRP12,mclust1
LRP8,mclust1
M6PR,mclust1
MAN1A2,mclust1
MAN1B1,mclust1
MAN2A1,mclust1
MAN2A2,mclust1
MANEA,mclust1
MBTPS1,mclust1
MDK,mclust1
MEGF9,mclust1
MFSD1,mclust1
MFSD6,mclust1
MFSD8,mclust1
MGAT1,mclust1
MGAT2,mclust1
MGAT4B,mclust1
MGAT5,mclust1
MREG,mclust1
MUC1,mclust1
MYCBP2,mclust1
MYOF,mclust1
NAGPA,mclust1
NDFIP1,mclust1
NDFIP2,mclust1
NDST1,mclust1
NEURL4,mclust1
NIPA2,mclust1
NPC1,mclust1
NSF,mclust1
P2RX4,mclust1
PGAP2,mclust1
PI4K2A,mclust1
PI4K2B,mclust1
PLD1,mclust1
PMEPA1,mclust1
PODXL,mclust1
POMGNT1,mclust1
PPM1L,mclust1
PSEN2,mclust1
PTPRJ,mclust1
PTTG1IP,mclust1
QSOX2,mclust1
RAB11A,mclust1
RAB11FIP5,mclust1
RAB14,mclust1
RAB1A,mclust1
RAB1B,mclust1
RAB2A,mclust1
RAB2B,mclust1
RAB30,mclust1
RAB32,mclust1
RAB33B,mclust1
RAB43,mclust1
RAB4A,mclust1
RAB6A,mclust1
RAB9A,mclust1
RABAC1,mclust1
REEP3,mclust1
REEP5,mclust1
RER1,mclust1
RFFL,mclust1
RHBDD3,mclust1
RNF13,mclust1
RTN3,mclust1
RTN4,mclust1
SCAMP1,mclust1
SCAMP2,mclust1
SCAMP3,mclust1
SCAMP4,mclust1
SCARB2,mclust1
SCFD1,mclust1
SEC22A,mclust1
SEMA3C,mclust1
SEMA4C,mclust1
SERINC3,mclust1
SEZ6L2,mclust1
SFT2D2,mclust1
SFT2D3,mclust1
SGMS1,mclust1
SGMS2,mclust1
SIDT2,mclust1
SLC10A3,mclust1
SLC10A7,mclust1
SLC11A2,mclust1
SLC12A4,mclust1
SLC12A9,mclust1
SLC15A4,mclust1
SLC2A13,mclust1
SLC2A6,mclust1
SLC30A5,mclust1
SLC30A6,mclust1
SLC30A7,mclust1
SLC31A1,mclust1
SLC35A1,mclust1
SLC35A2,mclust1
SLC35A5,mclust1
SLC35B2,mclust1
SLC35B3,mclust1
SLC35C1,mclust1
SLC35C2,mclust1
SLC35F5,mclust1
SLC35F6,mclust1
SLC38A1,mclust1
SLC38A10,mclust1
SLC38A9,mclust1
SLC41A1,mclust1
SLC9A6,mclust1
SLC9A7,mclust1
SLC9A8,mclust1
SNX13,mclust1
SNX14,mclust1
SNX19,mclust1
SNX25,mclust1
SORT1,mclust1
SPPL2A,mclust1
SPRY1,mclust1
SPRYD3,mclust1
SPRYD7,mclust1
ST3GAL1,mclust1
ST3GAL4,mclust1
STARD3,mclust1
STARD3NL,mclust1
STOM,mclust1
STX10,mclust1
STX12,mclust1
STX16,mclust1
STX3,mclust1
STX5,mclust1
STX6,mclust1
STX7,mclust1
STX8,mclust1
SYNGR2,mclust1
SYPL1,mclust1
SYS1,mclust1
TBC1D31,mclust1
TCIRG1,mclust1
TEX2,mclust1
TFRC,mclust1
TGOLN2,mclust1
TM9SF2,mclust1
TM9SF3,mclust1
TM9SF4,mclust1
TMCO3,mclust1
TMED1,mclust1
TMED10,mclust1
TMED2,mclust1
TMED3,mclust1
TMED4,mclust1
TMED5,mclust1
TMED9,mclust1
TMEM106B,mclust1
TMEM106C,mclust1
TMEM115,mclust1
TMEM123,mclust1
TMEM134,mclust1
TMEM165,mclust1
TMEM168,mclust1
TMEM179B,mclust1
TMEM181,mclust1
TMEM184C,mclust1
TMEM192,mclust1
TMEM206,mclust1
TMEM248,mclust1
TMEM30A,mclust1
TMEM55A,mclust1
TMEM55B,mclust1
TMEM59,mclust1
TMEM63A,mclust1
TMEM63B,mclust1
TMEM87A,mclust1
TMEM87B,mclust1
TMEM9,mclust1
TMEM9B,mclust1
TNFRSF21,mclust1
TPCN1,mclust1
TPRG1L,mclust1
TPST1,mclust1
TSPAN3,mclust1
TSPAN4,mclust1
TTC3,mclust1
TTYH3,mclust1
UBIAD1,mclust1
UGCG,mclust1
USP12,mclust1
UXS1,mclust1
VAMP3,mclust1
VAMP4,mclust1
VAMP7,mclust1
WDFY1,mclust1
VSIG10,mclust1
VTI1A,mclust1
WWP2,mclust1
XYLT2,mclust1
YIF1A,mclust1
YIF1B,mclust1
YIPF1,mclust1
YIPF2,mclust1
YIPF3,mclust1
YIPF4,mclust1
YIPF5,mclust1
ZC3HAV1,mclust1
ZDHHC13,mclust1
ZDHHC17,mclust1
ZDHHC3,mclust1
ZDHHC7,mclust1
ZDHHC9,mclust1
ZFPL1,mclust1
ZFYVE27,mclust1
ABL1,mclust10
ACTR10,mclust10
AGFG1,mclust10
AJUBA,mclust10
AKAP12,mclust10
AMOTL2,mclust10
ARCN1,mclust10
ASB8,mclust10
ASNA1,mclust10
ATG4C,mclust10
BAG6,mclust10
BRCC3,mclust10
BUB1,mclust10
C10orf88,mclust10
C12orf4,mclust10
C1orf198,mclust10
CCDC97,mclust10
CCNB1,mclust10
CDC25B,mclust10
CDC42,mclust10
CDC42EP4,mclust10
CDR2L,mclust10
CEP112,mclust10
CEP192,mclust10
CMTR2,mclust10
CNTRL,mclust10
COG4,mclust10
COPB2,mclust10
COPG1,mclust10
COPS4,mclust10
COPS7A,mclust10
COPZ1,mclust10
CUL1,mclust10
CYTH1,mclust10
CYTH3,mclust10
DCTN4,mclust10
DENND4C,mclust10
DEPDC5,mclust10
DIP2A,mclust10
DIP2B,mclust10
DIS3L,mclust10
DNA2,mclust10
DSCR3,mclust10
DTNBP1,mclust10
DUSP14,mclust10
DYRK1A,mclust10
EEF1B2,mclust10
EEF1D,mclust10
EEF1G,mclust10
EIF2AK4,mclust10
EML3,mclust10
FAM160A2,mclust10
FCHSD2,mclust10
FGFR1OP,mclust10
GGA1,mclust10
GGA3,mclust10
GOLGA3,mclust10
GOLPH3L,mclust10
GTF3A,mclust10
HDAC7,mclust10
IMPDH1,mclust10
IQSEC2,mclust10
KLHL26,mclust10
KPNA4,mclust10
KRT80,mclust10
MAF1,mclust10
MAP4K3,mclust10
MICAL3,mclust10
MMADHC,mclust10
MTMR1,mclust10
MYO9A,mclust10
NCK2,mclust10
NDE1,mclust10
NDEL1,mclust10
NGLY1,mclust10
NMT2,mclust10
PCID2,mclust10
PDCD2,mclust10
PHACTR4,mclust10
PHLPP1,mclust10
PHLPP2,mclust10
PIH1D1,mclust10
PLCB3,mclust10
PPP1CB,mclust10
PPP2R5C,mclust10
PRKAR1B,mclust10
PRMT5,mclust10
PTP4A2,mclust10
R3HDM2,mclust10
RAD51,mclust10
RALGAPA2,mclust10
RBX1,mclust10
RDX,mclust10
RNF126,mclust10
RNF216,mclust10
SCLT1,mclust10
SHCBP1,mclust10
SMAD5,mclust10
SNX15,mclust10
SNX9,mclust10
SRGAP1,mclust10
SRP68,mclust10
SRP72,mclust10
STRAP,mclust10
SYNJ1,mclust10
SYNRG,mclust10
SZRD1,mclust10
TAF7,mclust10
TANC1,mclust10
TBC1D5,mclust10
TGFBRAP1,mclust10
THG1L,mclust10
TRAF3IP1,mclust10
TTC5,mclust10
UBP1,mclust10
UBQLN1,mclust10
UBR1,mclust10
UBR3,mclust10
VARS,mclust10
VCP,mclust10
WDR61,mclust10
WDR7,mclust10
WDR77,mclust10
WDR92,mclust10
WDTC1,mclust10
VPS13C,mclust10
VPS26A,mclust10
VPS35,mclust10
VPS52,mclust10
WWC3,mclust10
XPO5,mclust10
ZNF511,mclust10
AAK1,mclust11
ABHD14B,mclust11
ABL2,mclust11
ACAP2,mclust11
AHCYL1,mclust11
AHSA1,mclust11
AIP,mclust11
ALKBH8,mclust11
ANXA11,mclust11
ARHGAP17,mclust11
ARHGAP35,mclust11
ARHGEF10,mclust11
ARHGEF10L,mclust11
ARMC6,mclust11
ARPC5,mclust11
ATG12,mclust11
ATG16L1,mclust11
ATG2B,mclust11
ATG5,mclust11
ATXN7L3B,mclust11
BAX,mclust11
BCAR1,mclust11
BCAS3,mclust11
BID,mclust11
BIN1,mclust11
BPNT1,mclust11
BRAF,mclust11
BUB1B,mclust11
C12orf23,mclust11
C6orf106,mclust11
CACYBP,mclust11
CCDC50,mclust11
CCS,mclust11
CDAN1,mclust11
CDC123,mclust11
CDC37,mclust11
CEP85,mclust11
CHKA,mclust11
CHM,mclust11
CIAO1,mclust11
CNN2,mclust11
COL4A3BP,mclust11
CPNE3,mclust11
CSK,mclust11
CTPS2,mclust11
CXorf38,mclust11
DDX58,mclust11
DIAPH1,mclust11
DNAJC7,mclust11
DNM2,mclust11
EFTUD1,mclust11
EIF4EBP2,mclust11
ETF1,mclust11
FAIM,mclust11
FAM105B,mclust11
FBXO30,mclust11
FER,mclust11
FNBP1,mclust11
FNBP1L,mclust11
FPGT,mclust11
GABARAPL1,mclust11
GLRX,mclust11
GNB1L,mclust11
GPN1,mclust11
GPSM1,mclust11
GPX4,mclust11
GSK3A,mclust11
GSK3B,mclust11
HEBP1,mclust11
HOOK3,mclust11
HSPB8,mclust11
HSPBP1,mclust11
IMPA1,mclust11
IMPACT,mclust11
INPP4A,mclust11
INPPL1,mclust11
IRAK4,mclust11
IRS1,mclust11
IST1,mclust11
ITPA,mclust11
KIAA1279,mclust11
KIF21A,mclust11
KIF3B,mclust11
KLC2,mclust11
KLC4,mclust11
KNTC1,mclust11
LIMD1,mclust11
LRSAM1,mclust11
MALT1,mclust11
MAP3K7,mclust11
MAP4K5,mclust11
MAST4,mclust11
MKL1,mclust11
MKL2,mclust11
MSTO1,mclust11
MTMR12,mclust11
MTR,mclust11
MYO9B,mclust11
N4BP1,mclust11
NANP,mclust11
NCK1,mclust11
NDC80,mclust11
NECAP1,mclust11
NECAP2,mclust11
NEK7,mclust11
NFKB1,mclust11
NFKB2,mclust11
NR3C1,mclust11
NSUN6,mclust11
NT5C3B,mclust11
NUDT14,mclust11
OSBPL2,mclust11
OXR1,mclust11
PACSIN2,mclust11
PAK1,mclust11
PAK2,mclust11
PALLD,mclust11
PANK4,mclust11
PARVA,mclust11
PASK,mclust11
PBK,mclust11
PDCD10,mclust11
PDCD2L,mclust11
PHACTR2,mclust11
PHGDH,mclust11
PI4KB,mclust11
PIK3CA,mclust11
PITPNA,mclust11
PITPNB,mclust11
PLCG1,mclust11
PLS3,mclust11
PMVK,mclust11
PPCS,mclust11
PPIP5K2,mclust11
PPM1F,mclust11
PPP2R1A,mclust11
PPP2R5D,mclust11
PPP4R1,mclust11
PPP6R1,mclust11
PRKCA,mclust11
PRTFDC1,mclust11
PRUNE,mclust11
PTPN11,mclust11
PTPN12,mclust11
RABGAP1L,mclust11
RABIF,mclust11
RABL6,mclust11
RALGPS2,mclust11
RAPH1,mclust11
RASA1,mclust11
RBCK1,mclust11
REL,mclust11
RELB,mclust11
RHEB,mclust11
RIN3,mclust11
RNF123,mclust11
RNF25,mclust11
ROCK1,mclust11
ROCK2,mclust11
RPS6KA1,mclust11
RRM2,mclust11
RWDD2B,mclust11
SAR1A,mclust11
SAR1B,mclust11
SASH1,mclust11
SH2D4A,mclust11
SH3BP2,mclust11
SH3GL1,mclust11
SH3PXD2B,mclust11
SKA1,mclust11
SKA2,mclust11
SLK,mclust11
SMAD2,mclust11
SOS1,mclust11
SOWAHC,mclust11
SPC24,mclust11
SRR,mclust11
SRXN1,mclust11
SSH3,mclust11
STAT1,mclust11
SUGT1,mclust11
SWAP70,mclust11
TAB2,mclust11
TANK,mclust11
TAX1BP3,mclust11
TBC1D1,mclust11
TBC1D2,mclust11
TBC1D2B,mclust11
TBCC,mclust11
THADA,mclust11
TIPRL,mclust11
TLN1,mclust11
TNIP1,mclust11
TOM1L1,mclust11
TRAF2,mclust11
TRAFD1,mclust11
TRIM47,mclust11
TRIP10,mclust11
TRIP6,mclust11
TSTD1,mclust11
TSTD2,mclust11
TTC4,mclust11
TUFT1,mclust11
UBAP1,mclust11
UBE2R2,mclust11
UBXN2B,mclust11
UNC13D,mclust11
USP24,mclust11
USP25,mclust11
VASP,mclust11
WDR45,mclust11
VIPAS39,mclust11
WIPI2,mclust11
WNK1,mclust11
VPS25,mclust11
VPS33B,mclust11
VTA1,mclust11
YKT6,mclust11
ZFYVE19,mclust11
ZYX,mclust11
AACS,mclust12
AARS,mclust12
ABRACL,mclust12
ACOT11,mclust12
ACP1,mclust12
ACYP1,mclust12
ADH5,mclust12
ADI1,mclust12
ADRBK1,mclust12
AFP,mclust12
AK1,mclust12
ALDH1A3,mclust12
ALDOA,mclust12
AMPD2,mclust12
ANKS1A,mclust12
ANXA1,mclust12
ANXA5,mclust12
ARHGDIA,mclust12
ARHGDIB,mclust12
ASMTL,mclust12
ATG3,mclust12
ATG4B,mclust12
ATG7,mclust12
ATIC,mclust12
BCL10,mclust12
C12orf29,mclust12
C12orf5,mclust12
C14orf119,mclust12
C16orf13,mclust12
C16orf70,mclust12
C6orf211,mclust12
CAPN1,mclust12
CAPN2,mclust12
CAPNS1,mclust12
CAPS,mclust12
CBL,mclust12
CBR3,mclust12
CBS,mclust12
CCDC43,mclust12
CDC25C,mclust12
CDV3,mclust12
CFL1,mclust12
CHML,mclust12
CHMP4B,mclust12
CHORDC1,mclust12
CKB,mclust12
CLIC1,mclust12
CLIC4,mclust12
CLIP1,mclust12
CMPK1,mclust12
CNDP2,mclust12
CRABP2,mclust12
CRLF3,mclust12
CRTC1,mclust12
CSTB,mclust12
CTH,mclust12
CTPS1,mclust12
CTU2,mclust12
DBI,mclust12
DBNDD1,mclust12
DBNL,mclust12
DENR,mclust12
DHFR,mclust12
DLGAP5,mclust12
DNAAF2,mclust12
DPH2,mclust12
DPH3,mclust12
DPP3,mclust12
DPYD,mclust12
DRG2,mclust12
DSTN,mclust12
EEF1A1,mclust12
EEF2,mclust12
EEF2K,mclust12
ELP4,mclust12
ENO1,mclust12
ENO3,mclust12
ENSA,mclust12
ERCC6L,mclust12
FAH,mclust12
FAM107B,mclust12
FKBPL,mclust12
G6PD,mclust12
GARS,mclust12
GART,mclust12
GBP2,mclust12
GCLM,mclust12
GDI2,mclust12
GGCT,mclust12
GLOD4,mclust12
GMFB,mclust12
GNPDA2,mclust12
GPI,mclust12
GSN,mclust12
GSPT1,mclust12
HARS,mclust12
HMGCS1,mclust12
HS1BP3,mclust12
HSPB1,mclust12
IDH1,mclust12
IFIT5,mclust12
IRF3,mclust12
ITPKC,mclust12
KIAA0513,mclust12
KIAA1598,mclust12
KIF15,mclust12
KIF5B,mclust12
LASP1,mclust12
LDHB,mclust12
LMCD1,mclust12
LPP,mclust12
LTA4H,mclust12
LZIC,mclust12
LZTFL1,mclust12
MAP2K1,mclust12
MDH1,mclust12
METTL2B,mclust12
MKNK1,mclust12
MLKL,mclust12
MPI,mclust12
MVK,mclust12
NDRG2,mclust12
NFKBIB,mclust12
NQO1,mclust12
NQO2,mclust12
NRD1,mclust12
NUDC,mclust12
NUDCD2,mclust12
NUDT1,mclust12
NUDT15,mclust12
OLA1,mclust12
PANK2,mclust12
PANK3,mclust12
PBDC1,mclust12
PDE5A,mclust12
PDLIM5,mclust12
PEBP1,mclust12
PEPD,mclust12
PFN2,mclust12
PGAM1,mclust12
PGK1,mclust12
PGM1,mclust12
PHPT1,mclust12
PIR,mclust12
PKM,mclust12
PMM2,mclust12
PPA1,mclust12
PPAT,mclust12
PPM1B,mclust12
PPME1,mclust12
PPP5C,mclust12
PRDX6,mclust12
PREP,mclust12
PRMT3,mclust12
PRPS2,mclust12
PTGR1,mclust12
PXN,mclust12
RABGGTA,mclust12
RABGGTB,mclust12
RANBP1,mclust12
RAP1GDS1,mclust12
RBBP9,mclust12
RBKS,mclust12
RNF14,mclust12
RNF146,mclust12
RPA3-AS1,mclust12
RPE,mclust12
RRM2B,mclust12
RWDD1,mclust12
SCRN1,mclust12
SEPSECS,mclust12
SH3RF1,mclust12
SMAP1,mclust12
SMS,mclust12
SMYD2,mclust12
SMYD5,mclust12
SOD1,mclust12
SPAG9,mclust12
STK4,mclust12
STMN1,mclust12
STMN2,mclust12
TACC3,mclust12
TAGLN2,mclust12
TARS,mclust12
TBCB,mclust12
TBCE,mclust12
TFG,mclust12
THUMPD3,mclust12
TP53I3,mclust12
TPMT,mclust12
TPT1,mclust12
TRIM5,mclust12
TSC22D1,mclust12
TSC22D2,mclust12
TTL,mclust12
TUBA4A,mclust12
TUBB,mclust12
TUBB4B,mclust12
TUBB6,mclust12
TXNRD1,mclust12
UAP1,mclust12
UBE2O,mclust12
UROS,mclust12
USP4,mclust12
USP47,mclust12
WARS,mclust12
VCL,mclust12
VPS37B,mclust12
VPS4B,mclust12
XPNPEP1,mclust12
YAE1D1,mclust12
YWHAQ,mclust12
YWHAZ,mclust12
ZBTB8OS,mclust12
ZNF259,mclust12
AASDHPPT,mclust13
ACAT2,mclust13
ACBD6,mclust13
ACLY,mclust13
ACSS2,mclust13
ADAT2,mclust13
ADAT3,mclust13
ADK,mclust13
ADO,mclust13
ADPRHL2,mclust13
ADSL,mclust13
AHCY,mclust13
AKR1A1,mclust13
ALKBH3,mclust13
AMDHD2,mclust13
ANKRD54,mclust13
APRT,mclust13
ARIH1,mclust13
ARIH2,mclust13
ASPSCR1,mclust13
ASS1,mclust13
ATE1,mclust13
ATG13,mclust13
ATXN3,mclust13
BAG3,mclust13
BDH2,mclust13
BLVRB,mclust13
BORA,mclust13
BROX,mclust13
BTF3,mclust13
BTF3L4,mclust13
C10orf118,mclust13
C11orf68,mclust13
C12orf10,mclust13
C12orf57,mclust13
C14orf142,mclust13
C1orf50,mclust13
C20orf27,mclust13
C9orf16,mclust13
C9orf64,mclust13
CASP7,mclust13
CAST,mclust13
CBFB,mclust13
CBR1,mclust13
CC2D1B,mclust13
CCBL1,mclust13
CCDC25,mclust13
CCDC6,mclust13
CCDC85C,mclust13
CCDC91,mclust13
CD2AP,mclust13
CDK1,mclust13
CDK6,mclust13
CHMP5,mclust13
CIAPIN1,mclust13
CKS2,mclust13
CLUH,mclust13
CMBL,mclust13
CNOT4,mclust13
CRBN,mclust13
CRK,mclust13
CRKL,mclust13
CRTC2,mclust13
CRTC3,mclust13
CTNNBIP1,mclust13
CTTNBP2NL,mclust13
CUEDC2,mclust13
CYB5R4,mclust13
DAK,mclust13
DCTD,mclust13
DCTPP1,mclust13
DCUN1D1,mclust13
DDAH1,mclust13
DDI2,mclust13
DFFA,mclust13
DNAJB4,mclust13
DOHH,mclust13
DPH5,mclust13
DPH7,mclust13
DTD1,mclust13
DUSP12,mclust13
DUSP3,mclust13
EDF1,mclust13
EIF1AD,mclust13
EIF4H,mclust13
EIF6,mclust13
EML4,mclust13
ENAH,mclust13
ENOPH1,mclust13
ERC1,mclust13
ERF,mclust13
FAM168A,mclust13
FAM175B,mclust13
FBLIM1,mclust13
FBXO3,mclust13
FBXW5,mclust13
FDPS,mclust13
FKBP3,mclust13
FKBP4,mclust13
FLNA,mclust13
FLNB,mclust13
FOXO3,mclust13
FSCN1,mclust13
GALE,mclust13
GALK1,mclust13
GALK2,mclust13
GAPDH,mclust13
GBE1,mclust13
GLRX3,mclust13
GLUL,mclust13
GMPPA,mclust13
GMPPB,mclust13
GMPR2,mclust13
GNB5,mclust13
GNPNAT1,mclust13
GPCPD1,mclust13
GRIPAP1,mclust13
GSR,mclust13
GSS,mclust13
GSTO1,mclust13
HDAC4,mclust13
HDAC8,mclust13
HDDC2,mclust13
HDHD1,mclust13
HELB,mclust13
HSBP1,mclust13
HSP90AA1,mclust13
HSP90AB1,mclust13
HSPA14,mclust13
HSPA4,mclust13
HSPA4L,mclust13
HSPH1,mclust13
IAH1,mclust13
IDE,mclust13
IDI1,mclust13
IFT27,mclust13
INPP1,mclust13
IRF9,mclust13
KHK,mclust13
KLHL36,mclust13
LGALSL,mclust13
LYSMD2,mclust13
MAGI3,mclust13
MAP4,mclust13
MAPK1,mclust13
MAPK12,mclust13
MAPK14,mclust13
MAPK8,mclust13
MAPK9,mclust13
MAPRE1,mclust13
MAT2A,mclust13
MAT2B,mclust13
MEMO1,mclust13
METTL5,mclust13
MGEA5,mclust13
MIEN1,mclust13
MIF4GD,mclust13
MOB2,mclust13
MOCS2,mclust13
MRI1,mclust13
MTMR2,mclust13
MVD,mclust13
NAA10,mclust13
NAA50,mclust13
NACA,mclust13
NAE1,mclust13
NAGK,mclust13
NAMPT,mclust13
NANS,mclust13
NAP1L4,mclust13
NARS,mclust13
NAT1,mclust13
NDOR1,mclust13
