"Gene > Secondary Identifier","Gene > DB identifier","Gene > Organism . Name","Gene > Proteins > UniProt Accession","Gene > Proteins > UniProt Name"
"CG10045","FBgn0001149","Drosophila melanogaster","P20432","GSTT1_DROME"
"CG10060","FBgn0001104","Drosophila melanogaster","P20353","GNAI_DROME"
"CG10067","FBgn0000044","Drosophila melanogaster","P53501","ACT3_DROME"
"CG10079","FBgn0003731","Drosophila melanogaster","P04412","EGFR_DROME"
"CG10079","FBgn0003731","Drosophila melanogaster","P04412","EGFR_DROME"
"CG10149","FBgn0028689","Drosophila melanogaster","Q7KLV9","PSD11_DROME"
"CG10149","FBgn0028689","Drosophila melanogaster","Q7KLV9","PSD11_DROME"
"CG10158","FBgn0031871","Drosophila melanogaster","Q9VM65","CCA_DROME"
"CG10161","FBgn0040227","Drosophila melanogaster","Q9VCK0","EI3D1_DROME"
"CG10166","FBgn0032799","Drosophila melanogaster","Q9VIU7","DPM1_DROME"
"CG10223","FBgn0003732","Drosophila melanogaster","P15348","TOP2_DROME"
"CG10236","FBgn0002526","Drosophila melanogaster","Q00174","LAMA_DROME"
"CG10240","FBgn0013773","Drosophila melanogaster","Q9V769","C6A22_DROME"
"CG10242","FBgn0033978","Drosophila melanogaster","Q9V771","C6A23_DROME"
"CG10248","FBgn0013772","Drosophila melanogaster","Q27593","CP6A8_DROME"
"CG10255","FBgn0033984","Drosophila melanogaster","Q9V780","LAP1_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","P19109","DDX17_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","P19109","DDX17_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","P19109","DDX17_DROME"
"CG10279","FBgn0003261","Drosophila melanogaster","P19109","DDX17_DROME"
"CG10293","FBgn0264491","Drosophila melanogaster","O01367","HOW_DROME"
"CG10293","FBgn0264491","Drosophila melanogaster","O01367","HOW_DROME"
"CG10293","FBgn0264491","Drosophila melanogaster","O01367","HOW_DROME"
"CG10305","FBgn0261597","Drosophila melanogaster","P13008","RS26_DROME"
"CG10306","FBgn0034654","Drosophila melanogaster","Q9W2D9","EIF3K_DROME"
"CG10377","FBgn0004838","Drosophila melanogaster","P48809","RB27C_DROME"
"CG10420","FBgn0039296","Drosophila melanogaster","Q9VBV5","SIL1_DROME"
"CG10443","FBgn0000464","Drosophila melanogaster","P16621","LAR_DROME"
"CG10506","FBgn0027090","Drosophila melanogaster","Q9Y105","SYQ_DROME"
"CG10540","FBgn0034577","Drosophila melanogaster","Q9W2N0","CAPZA_DROME"
"CG10545","FBgn0001105","Drosophila melanogaster","P26308","GBB1_DROME"
"CG10593","FBgn0016122","Drosophila melanogaster","Q9VLJ6","ACER_DROME"
"CG10616","FBgn0036286","Drosophila melanogaster","Q9VTX8","ODR4_DROME"
"CG1065","FBgn0004888","Drosophila melanogaster","Q94522","SUCA_DROME"
"CG10671","FBgn0035586","Drosophila melanogaster","Q9VRJ2","FITM_DROME"
"CG10671","FBgn0035586","Drosophila melanogaster","Q9VRJ2","FITM_DROME"
"CG10691","FBgn0002031","Drosophila melanogaster","P24156","L2CC_DROME"
"CG10701","FBgn0011661","Drosophila melanogaster","P46150","MOEH_DROME"
"CG10701","FBgn0011661","Drosophila melanogaster","P46150","MOEH_DROME"
"CG10701","FBgn0011661","Drosophila melanogaster","P46150","MOEH_DROME"
"CG10701","FBgn0011661","Drosophila melanogaster","P46150","MOEH_DROME"
"CG10701","FBgn0011661","Drosophila melanogaster","P46150","MOEH_DROME"
"CG1084","FBgn0037240","Drosophila melanogaster","Q9VN14","CONT_DROME"
"CG10844","FBgn0011286","Drosophila melanogaster","Q24498","RY44_DROME"
"CG10844","FBgn0011286","Drosophila melanogaster","Q24498","RY44_DROME"
"CG10844","FBgn0011286","Drosophila melanogaster","Q24498","RY44_DROME"
"CG10844","FBgn0011286","Drosophila melanogaster","Q24498","RY44_DROME"
"CG1088","FBgn0015324","Drosophila melanogaster","P54611","VATE_DROME"
"CG10938","FBgn0016697","Drosophila melanogaster","Q95083","PSA5_DROME"
"CG10944","FBgn0261592","Drosophila melanogaster","P29327","RS6_DROME"
"CG10944","FBgn0261592","Drosophila melanogaster","P29327","RS6_DROME"
"CG10954","FBgn0032859","Drosophila melanogaster","Q9VIM5","ARPC2_DROME"
"CG10975","FBgn0014007","Drosophila melanogaster","P16620","PTP69_DROME"
"CG10975","FBgn0014007","Drosophila melanogaster","P16620","PTP69_DROME"
"CG10978","FBgn0037374","Drosophila melanogaster","Q7K1V5","JAGN_DROME"
"CG11001","FBgn0013954","Drosophila melanogaster","P48375","FKB12_DROME"
"CG11007","FBgn0034455","Drosophila melanogaster","Q7JW12","TMX2_DROME"
"CG1104","FBgn0037467","Drosophila melanogaster","Q9VI55","UFL1_DROME"
"CG1104","FBgn0037467","Drosophila melanogaster","Q9VI55","UFL1_DROME"
"CG11051","FBgn0040813","Drosophila melanogaster","Q9VU58","NPLP2_DROME"
"CG11059","FBgn0039928","Drosophila melanogaster","Q9V498","CSTN1_DROME"
"CG11064","FBgn0087002","Drosophila melanogaster","Q9V496","APLP_DROME"
"CG11077","FBgn0039930","Drosophila melanogaster","Q9V492","MPV17_DROME"
"CG11098","FBgn0031842","Drosophila melanogaster","Q9VMA7","TGO1_DROME"
"CG11098","FBgn0031842","Drosophila melanogaster","Q9VMA7","TGO1_DROME"
"CG11129","FBgn0004047","Drosophila melanogaster","P06607","VIT3_DROME"
"CG11154","FBgn0010217","Drosophila melanogaster","Q05825","ATPB_DROME"
"CG11271","FBgn0260441","Drosophila melanogaster","P80455","RS12_DROME"
"CG11276","FBgn0011284","Drosophila melanogaster","P41042","RS4_DROME"
"CG11561","FBgn0003444","Drosophila melanogaster","P91682","SMO_DROME"
"CG11567","FBgn0015623","Drosophila melanogaster","Q27597","NCPR_DROME"
"CG11579","FBgn0000117","Drosophila melanogaster","P18824","ARM_DROME"
"CG11579","FBgn0000117","Drosophila melanogaster","P18824","ARM_DROME"
"CG1161","FBgn0037313","Drosophila melanogaster","Q9VNA4","Y1161_DROME"
"CG11654","FBgn0014455","Drosophila melanogaster","Q27580","SAHH_DROME"
"CG1167","FBgn0003206","Drosophila melanogaster","P04388","RAS2_DROME"
"CG11785","FBgn0045866","Drosophila melanogaster","Q8SXY6","TMEDA_DROME"
"CG11793","FBgn0003462","Drosophila melanogaster","P61851","SODC_DROME"
"CG11888","FBgn0028692","Drosophila melanogaster","Q9V3P6","PSMD1_DROME"
"CG11888","FBgn0028692","Drosophila melanogaster","Q9V3P6","PSMD1_DROME"
"CG11901","FBgn0029176","Drosophila melanogaster","Q9NJH0","EF1G_DROME"
"CG11949","FBgn0010434","Drosophila melanogaster","Q9V8R9","41_DROME"
"CG11949","FBgn0010434","Drosophila melanogaster","Q9V8R9","41_DROME"
"CG11949","FBgn0010434","Drosophila melanogaster","Q9V8R9","41_DROME"
"CG11949","FBgn0010434","Drosophila melanogaster","Q9V8R9","41_DROME"
"CG11949","FBgn0010434","Drosophila melanogaster","Q9V8R9","41_DROME"
"CG11949","FBgn0010434","Drosophila melanogaster","Q9V8R9","41_DROME"
"CG12019","FBgn0011573","Drosophila melanogaster","Q24276","CDC37_DROME"
"CG12055","FBgn0001091","Drosophila melanogaster","P07486","G3P1_DROME"
"CG12056","FBgn0030099","Drosophila melanogaster","Q9W376","NEUFC_DROME"
"CG12101","FBgn0015245","Drosophila melanogaster","O02649","CH60_DROME"
"CG12108","FBgn0030057","Drosophila melanogaster","Q9W3C7","PPT1_DROME"
"CG12130","FBgn0033466","Drosophila melanogaster","Q9V5E1","PAL1_DROME"
"CG12157","FBgn0016041","Drosophila melanogaster","Q9U4L6","TO401_DROME"
"CG12210","FBgn0003660","Drosophila melanogaster","P18489","SYB_DROME"
"CG12210","FBgn0003660","Drosophila melanogaster","P18489","SYB_DROME"
"CG12210","FBgn0003660","Drosophila melanogaster","P18489","SYB_DROME"
"CG12210","FBgn0003660","Drosophila melanogaster","P18489","SYB_DROME"
"CG12233","FBgn0027291","Drosophila melanogaster","Q9VWH4","IDH3A_DROME"
"CG12233","FBgn0027291","Drosophila melanogaster","Q9VWH4","IDH3A_DROME"
"CG12262","FBgn0035811","Drosophila melanogaster","Q9VSA3","ACADM_DROME"
"CG12264","FBgn0032393","Drosophila melanogaster","Q9VKD3","NFS1_DROME"
"CG12306","FBgn0003124","Drosophila melanogaster","P52304","POLO_DROME"
"CG12324","FBgn0033555","Drosophila melanogaster","Q7KR04","RS15B_DROME"
"CG12366","FBgn0033901","Drosophila melanogaster","Q9V6X7","OFUT1_DROME"
"CG12369","FBgn0010238","Drosophila melanogaster","Q24372","LACH_DROME"
"CG12369","FBgn0010238","Drosophila melanogaster","Q24372","LACH_DROME"
"CG1242","FBgn0001233","Drosophila melanogaster","P02828","HSP83_DROME"
"CG1249","FBgn0261789","Drosophila melanogaster","Q9VI10","SMD2_DROME"
"CG12530","FBgn0010341","Drosophila melanogaster","P40793","CDC42_DROME"
"CG1263","FBgn0261602","Drosophila melanogaster","Q9V3G1","RL8_DROME"
"CG12740","FBgn0035422","Drosophila melanogaster","Q9VZS5","RL28_DROME"
"CG12749","FBgn0004237","Drosophila melanogaster","P48810","RB87F_DROME"
"CG12749","FBgn0004237","Drosophila melanogaster","P48810","RB87F_DROME"
"CG1307","FBgn0026566","Drosophila melanogaster","O97067","PTH2_DROME"
"CG13096","FBgn0032050","Drosophila melanogaster","Q9VLK2","Y3096_DROME"
"CG1311","FBgn0035523","Drosophila melanogaster","Q9VZE7","CTLH1_DROME"
"CG13364","FBgn0026879","Drosophila melanogaster","Q9XZS3","TMA7_DROME"
"CG13387","FBgn0020497","Drosophila melanogaster","Q9TVM2","XPO1_DROME"
"CG13389","FBgn0010265","Drosophila melanogaster","Q03334","RS13_DROME"
"CG13393","FBgn0263852","Drosophila melanogaster","Q9VLM5","DAD1_DROME"
"CG1372","FBgn0004649","Drosophila melanogaster","P98163","YL_DROME"
"CG1372","FBgn0004649","Drosophila melanogaster","P98163","YL_DROME"
"CG1403","FBgn0011710","Drosophila melanogaster","P42207","SEPT1_DROME"
"CG1404","FBgn0020255","Drosophila melanogaster","Q9VZ23","RAN_DROME"
"CG14100","FBgn0036889","Drosophila melanogaster","Q9VW14","RMTL1_DROME"
"CG14181","FBgn0035965","Drosophila melanogaster","Q9VSU7","USE1_DROME"
"CG14181","FBgn0035965","Drosophila melanogaster","Q9VSU7","USE1_DROME"
"CG14199","FBgn0040890","Drosophila melanogaster","Q9VWH8","KISH_DROME"
"CG14206","FBgn0261593","Drosophila melanogaster","Q9VWG3","RS10B_DROME"
"CG14226","FBgn0043903","Drosophila melanogaster","Q9VWE0","DOME_DROME"
"CG1448","FBgn0265274","Drosophila melanogaster","Q9VAS7","INX3_DROME"
"CG1458","FBgn0062442","Drosophila melanogaster","Q9VAM6","CISD2_DROME"
"CG14724","FBgn0019624","Drosophila melanogaster","Q94514","COX5A_DROME"
"CG1475","FBgn0037351","Drosophila melanogaster","Q9VNE9","RL13A_DROME"
"CG14792","FBgn0003517","Drosophila melanogaster","P38979","RSSA_DROME"
"CG14792","FBgn0003517","Drosophila melanogaster","P38979","RSSA_DROME"
"CG1483","FBgn0002645","Drosophila melanogaster","P23226","MA205_DROME"
"CG1483","FBgn0002645","Drosophila melanogaster","P23226","MA205_DROME"
"CG1483","FBgn0002645","Drosophila melanogaster","P23226","MA205_DROME"
"CG14977","FBgn0035469","Drosophila melanogaster","Q9VZL6","LTOR4_DROME"
"CG14999","FBgn0260985","Drosophila melanogaster","P53034","RFC2_DROME"
"CG15093","FBgn0034390","Drosophila melanogaster","Q9V8M5","3HIDH_DROME"
"CG15093","FBgn0034390","Drosophila melanogaster","Q9V8M5","3HIDH_DROME"
"CG15110","FBgn0027535","Drosophila melanogaster","Q9XZ08","EXT3_DROME"
"CG1519","FBgn0023175","Drosophila melanogaster","Q9V5C6","PSA3_DROME"
"CG1528","FBgn0028968","Drosophila melanogaster","Q8I0G5","COPG_DROME"
"CG1528","FBgn0028968","Drosophila melanogaster","Q8I0G5","COPG_DROME"
"CG1528","FBgn0028968","Drosophila melanogaster","Q8I0G5","COPG_DROME"
"CG15442","FBgn0261606","Drosophila melanogaster","P41092","RL27A_DROME"
"CG1560","FBgn0004657","Drosophila melanogaster","P11584","ITBX_DROME"
"CG15743","FBgn0030465","Drosophila melanogaster","Q9VYF2","IMPA3_DROME"
"CG15792","FBgn0265434","Drosophila melanogaster","Q99323","MYSN_DROME"
"CG15792","FBgn0265434","Drosophila melanogaster","Q99323","MYSN_DROME"
"CG15792","FBgn0265434","Drosophila melanogaster","Q99323","MYSN_DROME"
"CG15792","FBgn0265434","Drosophila melanogaster","Q99323","MYSN_DROME"
"CG15811","FBgn0004574","Drosophila melanogaster","Q07327","ROP_DROME"
"CG15845","FBgn0000054","Drosophila melanogaster","P05552","ADF1_DROME"
"CG15845","FBgn0000054","Drosophila melanogaster","P05552","ADF1_DROME"
"CG1618","FBgn0000346","Drosophila melanogaster","P46461","NSF1_DROME"
"CG1633","FBgn0040309","Drosophila melanogaster","Q9V3P0","PRDX1_DROME"
"CG1634","FBgn0264975","Drosophila melanogaster","P20241","NRG_DROME"
"CG1634","FBgn0264975","Drosophila melanogaster","P20241","NRG_DROME"
"CG16901","FBgn0263396","Drosophila melanogaster","Q08473","SQD_DROME"
"CG16901","FBgn0263396","Drosophila melanogaster","Q08473","SQD_DROME"
"CG16901","FBgn0263396","Drosophila melanogaster","Q08473","SQD_DROME"
"CG16901","FBgn0263396","Drosophila melanogaster","Q08473","SQD_DROME"
"CG16944","FBgn0003360","Drosophila melanogaster","Q26365","ADT_DROME"
"CG16944","FBgn0003360","Drosophila melanogaster","Q26365","ADT_DROME"
"CG16979","FBgn0036512","Drosophila melanogaster","Q9VUR0","UFSP2_DROME"
"CG17166","FBgn0036462","Drosophila melanogaster","Q9VUJ0","RM39_DROME"
"CG17245","FBgn0025740","Drosophila melanogaster","Q9V4A7","PLXB_DROME"
"CG17246","FBgn0261439","Drosophila melanogaster","Q94523","DHSA_DROME"
"CG1725","FBgn0001624","Drosophila melanogaster","P31007","DLG1_DROME"
"CG1725","FBgn0001624","Drosophila melanogaster","P31007","DLG1_DROME"
"CG1725","FBgn0001624","Drosophila melanogaster","P31007","DLG1_DROME"
"CG1725","FBgn0001624","Drosophila melanogaster","P31007","DLG1_DROME"
"CG1725","FBgn0001624","Drosophila melanogaster","P31007","DLG1_DROME"
"CG1725","FBgn0001624","Drosophila melanogaster","P31007","DLG1_DROME"
"CG1725","FBgn0001624","Drosophila melanogaster","P31007","DLG1_DROME"
"CG1725","FBgn0001624","Drosophila melanogaster","P31007","DLG1_DROME"
"CG1725","FBgn0001624","Drosophila melanogaster","P31007","DLG1_DROME"
"CG1728","FBgn0027359","Drosophila melanogaster","Q9Y1A3","TIM8_DROME"
"CG17291","FBgn0260439","Drosophila melanogaster","P36179","2AAA_DROME"
"CG17332","FBgn0027779","Drosophila melanogaster","Q9V3J1","VATH_DROME"
"CG17332","FBgn0027779","Drosophila melanogaster","Q9V3J1","VATH_DROME"
"CG17332","FBgn0027779","Drosophila melanogaster","Q9V3J1","VATH_DROME"
"CG17369","FBgn0005671","Drosophila melanogaster","P31409","VATB_DROME"
"CG1751","FBgn0030306","Drosophila melanogaster","Q9VYY2","SPCS2_DROME"
"CG17521","FBgn0024733","Drosophila melanogaster","O61231","RL10_DROME"
"CG17654","FBgn0000579","Drosophila melanogaster","P15007","ENO_DROME"
"CG17654","FBgn0000579","Drosophila melanogaster","P15007","ENO_DROME"
"CG1771","FBgn0004456","Drosophila melanogaster","Q24247","ITA1_DROME"
"CG1771","FBgn0004456","Drosophila melanogaster","Q24247","ITA1_DROME"
"CG17737","FBgn0035423","Drosophila melanogaster","Q9VZS3","SUI1_DROME"
"CG17759","FBgn0004435","Drosophila melanogaster","P23625","GNAQ_DROME"
"CG17759","FBgn0004435","Drosophila melanogaster","P23625","GNAQ_DROME"
"CG17785","FBgn0039188","Drosophila melanogaster","Q8SZ63","GOGA5_DROME"
"CG1780","FBgn0026415","Drosophila melanogaster","Q9W303","IDGF4_DROME"
"CG17870","FBgn0004907","Drosophila melanogaster","P29310","1433Z_DROME"
"CG17870","FBgn0004907","Drosophila melanogaster","P29310","1433Z_DROME"
"CG17870","FBgn0004907","Drosophila melanogaster","P29310","1433Z_DROME"
"CG17896","FBgn0023537","Drosophila melanogaster","Q7KW39","MMSA_DROME"
"CG17896","FBgn0023537","Drosophila melanogaster","Q7KW39","MMSA_DROME"
"CG17903","FBgn0000409","Drosophila melanogaster","P84029","CYC2_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17927","FBgn0264695","Drosophila melanogaster","P05661","MYSA_DROME"
"CG17947","FBgn0010215","Drosophila melanogaster","P35220","CTNA_DROME"
"CG17949","FBgn0061209","Drosophila melanogaster","P02283","H2B_DROME"
"CG17950","FBgn0004362","Drosophila melanogaster","Q05783","HMGD_DROME"
"CG17952","FBgn0034657","Drosophila melanogaster","Q8MLV1","LBR_DROME"
"CG17952","FBgn0034657","Drosophila melanogaster","Q8MLV1","LBR_DROME"
"CG17970","FBgn0031694","Drosophila melanogaster","Q9VMS8","C4AC2_DROME"
"CG1799","FBgn0003204","Drosophila melanogaster","Q07152","IMDH_DROME"
"CG1799","FBgn0003204","Drosophila melanogaster","Q07152","IMDH_DROME"
"CG18102","FBgn0003392","Drosophila melanogaster","P27619","DYN_DROME"
"CG18102","FBgn0003392","Drosophila melanogaster","P27619","DYN_DROME"
"CG18111","FBgn0039678","Drosophila melanogaster","Q9VAJ4","OB99A_DROME"
"CG1821","FBgn0025286","Drosophila melanogaster","Q9V597","RL31_DROME"
"CG1829","FBgn0031126","Drosophila melanogaster","Q9VRB3","CP6V1_DROME"
"CG18405","FBgn0011259","Drosophila melanogaster","Q24322","SEM1A_DROME"
"CG18508","FBgn0028746","Drosophila melanogaster","O97172","U729_DROME"
"CG18572","FBgn0003189","Drosophila melanogaster","P05990","PYR1_DROME"
"CG18572","FBgn0003189","Drosophila melanogaster","P05990","PYR1_DROME"
"CG18582","FBgn0025743","Drosophila melanogaster","Q9VXE5","PAKM_DROME"
"CG18802","FBgn0011740","Drosophila melanogaster","Q24451","MAN2_DROME"
"CG18803","FBgn0019947","Drosophila melanogaster","O02194","PSN_DROME"
"CG18803","FBgn0019947","Drosophila melanogaster","O02194","PSN_DROME"
"CG18803","FBgn0019947","Drosophila melanogaster","O02194","PSN_DROME"
"CG18811","FBgn0042134","Drosophila melanogaster","Q9I7D3","CAPR1_DROME"
"CG1883","FBgn0039757","Drosophila melanogaster","Q9VA91","RS7_DROME"
"CG1937","FBgn0039875","Drosophila melanogaster","Q95SP2","HRD1_DROME"
"CG1945","FBgn0005632","Drosophila melanogaster","P55824","FAF_DROME"
"CG1945","FBgn0005632","Drosophila melanogaster","P55824","FAF_DROME"
"CG1956","FBgn0004636","Drosophila melanogaster","P08645","RAS3_DROME"
"CG1977","FBgn0250789","Drosophila melanogaster","P13395","SPTCA_DROME"
"CG2033","FBgn0010198","Drosophila melanogaster","P48149","RS15A_DROME"
"CG2048","FBgn0002413","Drosophila melanogaster","O76324","DCO_DROME"
"CG2050","FBgn0002780","Drosophila melanogaster","P13469","MODU_DROME"
"CG2054","FBgn0022702","Drosophila melanogaster","Q9W092","CHIT2_DROME"
"CG2060","FBgn0014469","Drosophila melanogaster","Q27606","CP4E2_DROME"
"CG2062","FBgn0015034","Drosophila melanogaster","Q9V4T5","CP4E1_DROME"
"CG2087","FBgn0037327","Drosophila melanogaster","Q9NIV1","E2AK3_DROME"
"CG2103","FBgn0035375","Drosophila melanogaster","Q6WV16","GALT6_DROME"
"CG2139","FBgn0028646","Drosophila melanogaster","Q9VA73","CMC_DROME"
"CG2139","FBgn0028646","Drosophila melanogaster","Q9VA73","CMC_DROME"
"CG2139","FBgn0028646","Drosophila melanogaster","Q9VA73","CMC_DROME"
"CG2140","FBgn0264294","Drosophila melanogaster","Q9V4N3","CYB5_DROME"
"CG2140","FBgn0264294","Drosophila melanogaster","Q9V4N3","CYB5_DROME"
