"Gene > Secondary Identifier","Gene > DB identifier","Gene > Organism . Name","Gene > Proteins > UniProt Accession","Gene > Proteins > UniProt Name"
"CG2145","FBgn0030251","Drosophila melanogaster","Q9VZ49","ENDOU_DROME"
"CG2151","FBgn0020653","Drosophila melanogaster","P91938","TRXR1_DROME"
"CG2151","FBgn0020653","Drosophila melanogaster","P91938","TRXR1_DROME"
"CG2151","FBgn0020653","Drosophila melanogaster","P91938","TRXR1_DROME"
"CG2151","FBgn0020653","Drosophila melanogaster","P91938","TRXR1_DROME"
"CG2168","FBgn0017545","Drosophila melanogaster","P55830","RS3A_DROME"
"CG2168","FBgn0017545","Drosophila melanogaster","P55830","RS3A_DROME"
"CG2168","FBgn0017545","Drosophila melanogaster","P55830","RS3A_DROME"
"CG2171","FBgn0086355","Drosophila melanogaster","P29613","TPIS_DROME"
"CG2171","FBgn0086355","Drosophila melanogaster","P29613","TPIS_DROME"
"CG2198","FBgn0000071","Drosophila melanogaster","P15364","AMAL_DROME"
"CG2204","FBgn0001122","Drosophila melanogaster","P16378","GNAO_DROME"
"CG2204","FBgn0001122","Drosophila melanogaster","P16378","GNAO_DROME"
"CG2210","FBgn0000150","Drosophila melanogaster","P08879","NDKA_DROME"
"CG2212","FBgn0003656","Drosophila melanogaster","Q9U969","SWS_DROME"
"CG2212","FBgn0003656","Drosophila melanogaster","Q9U969","SWS_DROME"
"CG2212","FBgn0003656","Drosophila melanogaster","Q9U969","SWS_DROME"
"CG2238","FBgn0000559","Drosophila melanogaster","P13060","EF2_DROME"
"CG2238","FBgn0000559","Drosophila melanogaster","P13060","EF2_DROME"
"CG2248","FBgn0010333","Drosophila melanogaster","P40792","RAC1_DROME"
"CG2286","FBgn0017566","Drosophila melanogaster","Q94511","NDUS1_DROME"
"CG2331","FBgn0261014","Drosophila melanogaster","Q7KN62","TERA_DROME"
"CG2331","FBgn0261014","Drosophila melanogaster","Q7KN62","TERA_DROME"
"CG2331","FBgn0261014","Drosophila melanogaster","Q7KN62","TERA_DROME"
"CG2448","FBgn0030327","Drosophila melanogaster","Q9VYV5","FUT8_DROME"
"CG2522","FBgn0010391","Drosophila melanogaster","Q9U5L1","SRPR_DROME"
"CG2621","FBgn0003371","Drosophila melanogaster","P18431","SGG_DROME"
"CG2621","FBgn0003371","Drosophila melanogaster","P18431","SGG_DROME"
"CG2621","FBgn0003371","Drosophila melanogaster","P18431","SGG_DROME"
"CG2621","FBgn0003371","Drosophila melanogaster","P18431","SGG_DROME"
"CG2637","FBgn0262743","Drosophila melanogaster","O18388","IMB_DROME"
"CG2671","FBgn0002121","Drosophila melanogaster","P08111","L2GL_DROME"
"CG2671","FBgn0002121","Drosophila melanogaster","P08111","L2GL_DROME"
"CG2671","FBgn0002121","Drosophila melanogaster","P08111","L2GL_DROME"
"CG2671","FBgn0002121","Drosophila melanogaster","P08111","L2GL_DROME"
"CG2718","FBgn0001142","Drosophila melanogaster","P20477","GLNA1_DROME"
"CG2746","FBgn0002607","Drosophila melanogaster","P36241","RL19_DROME"
"CG2835","FBgn0001123","Drosophila melanogaster","P20354","GNAS_DROME"
"CG2835","FBgn0001123","Drosophila melanogaster","P20354","GNAS_DROME"
"CG2849","FBgn0015286","Drosophila melanogaster","P48555","RALA_DROME"
"CG2922","FBgn0250753","Drosophila melanogaster","Q9VNE2","EXBA_DROME"
"CG2934","FBgn0028665","Drosophila melanogaster","Q9W4P5","VA0D1_DROME"
"CG2945","FBgn0000316","Drosophila melanogaster","P39205","CIN_DROME"
"CG2979","FBgn0005391","Drosophila melanogaster","P02844","VIT2_DROME"
"CG2985","FBgn0004045","Drosophila melanogaster","P02843","VIT1_DROME"
"CG2986","FBgn0015521","Drosophila melanogaster","O76927","RS21_DROME"
"CG2986","FBgn0015521","Drosophila melanogaster","O76927","RS21_DROME"
"CG2998","FBgn0030136","Drosophila melanogaster","Q9W334","RS28_DROME"
"CG3024","FBgn0025615","Drosophila melanogaster","O77277","TORS_DROME"
"CG30291","FBgn0050291","Drosophila melanogaster","Q95SK3","CK5P3_DROME"
"CG3039","FBgn0004646","Drosophila melanogaster","P27716","INX1_DROME"
"CG30498","FBgn0004132","Drosophila melanogaster","Q8T9B6","MESD_DROME"
"CG3050","FBgn0038194","Drosophila melanogaster","Q9VFP1","CP6D5_DROME"
"CG31004","FBgn0051004","Drosophila melanogaster","Q0KHY3","Y1004_DROME"
"CG31004","FBgn0051004","Drosophila melanogaster","Q0KHY3","Y1004_DROME"
"CG31127","FBgn0046685","Drosophila melanogaster","P83097","WSCK_DROME"
"CG31136","FBgn0013343","Drosophila melanogaster","Q24547","STX1A_DROME"
"CG31152","FBgn0086253","Drosophila melanogaster","Q8T045","RUMI_DROME"
"CG31196","FBgn0020238","Drosophila melanogaster","P92177","1433E_DROME"
"CG31196","FBgn0020238","Drosophila melanogaster","P92177","1433E_DROME"
"CG31196","FBgn0020238","Drosophila melanogaster","P92177","1433E_DROME"
"CG31196","FBgn0020238","Drosophila melanogaster","P92177","1433E_DROME"
"CG3127","FBgn0250906","Drosophila melanogaster","Q01604","PGK_DROME"
"CG3131","FBgn0031464","Drosophila melanogaster","Q9VQH2","DUOX_DROME"
"CG31363","FBgn0051363","Drosophila melanogaster","Q9I7K0","JUPIT_DROME"
"CG31363","FBgn0051363","Drosophila melanogaster","Q9I7K0","JUPIT_DROME"
"CG31363","FBgn0051363","Drosophila melanogaster","Q9I7K0","JUPIT_DROME"
"CG31363","FBgn0051363","Drosophila melanogaster","Q9I7K0","JUPIT_DROME"
"CG31363","FBgn0051363","Drosophila melanogaster","Q9I7K0","JUPIT_DROME"
"CG31363","FBgn0051363","Drosophila melanogaster","Q9I7K0","JUPIT_DROME"
"CG3140","FBgn0022708","Drosophila melanogaster","Q9U915","KAD2_DROME"
"CG3160","FBgn0029789","Drosophila melanogaster","Q9W495","PGAP1_DROME"
"CG3161","FBgn0262736","Drosophila melanogaster","P23380","VATL_DROME"
"CG31613","FBgn0051613","Drosophila melanogaster","P02299","H3_DROME"
"CG31617","FBgn0051617","Drosophila melanogaster","P02255","H1_DROME"
"CG31618","FBgn0051618","Drosophila melanogaster","P84051","H2A_DROME"
"CG31651","FBgn0031681","Drosophila melanogaster","Q6WV17","GALT5_DROME"
"CG31651","FBgn0031681","Drosophila melanogaster","Q6WV17","GALT5_DROME"
"CG3178","FBgn0004584","Drosophila melanogaster","P27864","RRP1_DROME"
"CG3186","FBgn0034967","Drosophila melanogaster","Q9GU68","IF5A_DROME"
"CG31884","FBgn0040070","Drosophila melanogaster","Q9V429","THIO2_DROME"
"CG31884","FBgn0040070","Drosophila melanogaster","Q9V429","THIO2_DROME"
"CG31915","FBgn0051915","Drosophila melanogaster","Q8IPK4","GLT25_DROME"
"CG31992","FBgn0051992","Drosophila melanogaster","Q8SY33","GAWKY_DROME"
"CG3201","FBgn0004687","Drosophila melanogaster","P54357","MLC2_DROME"
"CG3203","FBgn0029897","Drosophila melanogaster","Q9W3W8","RL17_DROME"
"CG32031","FBgn0000116","Drosophila melanogaster","P48610","KARG_DROME"
"CG32031","FBgn0000116","Drosophila melanogaster","P48610","KARG_DROME"
"CG32031","FBgn0000116","Drosophila melanogaster","P48610","KARG_DROME"
"CG32031","FBgn0000116","Drosophila melanogaster","P48610","KARG_DROME"
"CG3254","FBgn0031530","Drosophila melanogaster","Q6WV19","GALT2_DROME"
"CG32593","FBgn0264078","Drosophila melanogaster","O61492","FLOT2_DROME"
"CG32593","FBgn0264078","Drosophila melanogaster","O61492","FLOT2_DROME"
"CG32593","FBgn0264078","Drosophila melanogaster","O61492","FLOT2_DROME"
"CG32593","FBgn0264078","Drosophila melanogaster","O61492","FLOT2_DROME"
"CG32632","FBgn0086674","Drosophila melanogaster","Q9VYB7","TPST_DROME"
"CG32632","FBgn0086674","Drosophila melanogaster","Q9VYB7","TPST_DROME"
"CG32699","FBgn0052699","Drosophila melanogaster","Q0KHU5","PCAT1_DROME"
"CG32699","FBgn0052699","Drosophila melanogaster","Q0KHU5","PCAT1_DROME"
"CG32775","FBgn0066114","Drosophila melanogaster","O97422","B3GI_DROME"
"CG32795","FBgn0040384","Drosophila melanogaster","Q9U1M2","TM120_DROME"
"CG3283","FBgn0014028","Drosophila melanogaster","P21914","DHSB_DROME"
"CG32858","FBgn0003447","Drosophila melanogaster","Q24524","SING_DROME"
"CG33101","FBgn0013998","Drosophila melanogaster","P54351","NSF2_DROME"
"CG33103","FBgn0003137","Drosophila melanogaster","Q868Z9","PPN_DROME"
"CG33103","FBgn0003137","Drosophila melanogaster","Q868Z9","PPN_DROME"
"CG33103","FBgn0003137","Drosophila melanogaster","Q868Z9","PPN_DROME"
"CG33103","FBgn0003137","Drosophila melanogaster","Q868Z9","PPN_DROME"
"CG33104","FBgn0069242","Drosophila melanogaster","Q9I7K5","TMEDE_DROME"
"CG3314","FBgn0014026","Drosophila melanogaster","P46223","RL7A_DROME"
"CG3322","FBgn0002528","Drosophila melanogaster","P15215","LAMC1_DROME"
"CG3351","FBgn0038234","Drosophila melanogaster","Q9VFJ2","RM11_DROME"
"CG3352","FBgn0001075","Drosophila melanogaster","P33450","FAT_DROME"
"CG3395","FBgn0010408","Drosophila melanogaster","P55935","RS9_DROME"
"CG3415","FBgn0030731","Drosophila melanogaster","Q9VXJ0","DHB4_DROME"
"CG3416","FBgn0002787","Drosophila melanogaster","P26270","PSD7_DROME"
"CG3422","FBgn0004066","Drosophila melanogaster","P22769","PSA71_DROME"
"CG3481","FBgn0000055","Drosophila melanogaster","P00334","ADH_DROME"
"CG3501","FBgn0034791","Drosophila melanogaster","Q9W1Y1","EMC89_DROME"
"CG3539","FBgn0264978","Drosophila melanogaster","Q24179","SLY1_DROME"
"CG3539","FBgn0264978","Drosophila melanogaster","Q24179","SLY1_DROME"
"CG3539","FBgn0264978","Drosophila melanogaster","Q24179","SLY1_DROME"
"CG3539","FBgn0264978","Drosophila melanogaster","Q24179","SLY1_DROME"
"CG3595","FBgn0003514","Drosophila melanogaster","P40423","SQH_DROME"
"CG3612","FBgn0011211","Drosophila melanogaster","P35381","ATPA_DROME"
"CG3638","FBgn0261444","Drosophila melanogaster","Q9W5A5","TTY2_DROME"
"CG3638","FBgn0261444","Drosophila melanogaster","Q9W5A5","TTY2_DROME"
"CG3638","FBgn0261444","Drosophila melanogaster","Q9W5A5","TTY2_DROME"
"CG3661","FBgn0010078","Drosophila melanogaster","P48159","RL23_DROME"
"CG3665","FBgn0000635","Drosophila melanogaster","P34082","FAS2_DROME"
"CG3665","FBgn0000635","Drosophila melanogaster","P34082","FAS2_DROME"
"CG3665","FBgn0000635","Drosophila melanogaster","P34082","FAS2_DROME"
"CG3722","FBgn0003391","Drosophila melanogaster","Q24298","CADE_DROME"
"CG3725","FBgn0263006","Drosophila melanogaster","P22700","ATC1_DROME"
"CG3725","FBgn0263006","Drosophila melanogaster","P22700","ATC1_DROME"
"CG3760","FBgn0022343","Drosophila melanogaster","Q8MMC4","CDV3_DROME"
"CG3760","FBgn0022343","Drosophila melanogaster","Q8MMC4","CDV3_DROME"
"CG3762","FBgn0263598","Drosophila melanogaster","Q27331","VATA2_DROME"
"CG3774","FBgn0029849","Drosophila melanogaster","Q9W429","S35B4_DROME"
"CG3792","FBgn0031662","Drosophila melanogaster","Q9VMW8","MPU1_DROME"
"CG3800","FBgn0034802","Drosophila melanogaster","Q8T8R1","Y3800_DROME"
"CG3861","FBgn0261955","Drosophila melanogaster","Q9W401","CISY_DROME"
"CG3861","FBgn0261955","Drosophila melanogaster","Q9W401","CISY_DROME"
"CG3887","FBgn0031670","Drosophila melanogaster","Q9VMV6","SELT_DROME"
"CG3922","FBgn0005533","Drosophila melanogaster","P17704","RS17_DROME"
"CG3949","FBgn0015393","Drosophila melanogaster","Q9U3Z7","NH2L1_DROME"
"CG3979","FBgn0036816","Drosophila melanogaster","Q9VVT2","INDY1_DROME"
"CG3979","FBgn0036816","Drosophila melanogaster","Q9VVT2","INDY1_DROME"
"CG3991","FBgn0020370","Drosophila melanogaster","Q9V6K1","TPP2_DROME"
"CG3991","FBgn0020370","Drosophila melanogaster","Q9V6K1","TPP2_DROME"
"CG4001","FBgn0003071","Drosophila melanogaster","P52034","K6PF_DROME"
"CG4001","FBgn0003071","Drosophila melanogaster","P52034","K6PF_DROME"
"CG4001","FBgn0003071","Drosophila melanogaster","P52034","K6PF_DROME"
"CG4003","FBgn0040078","Drosophila melanogaster","Q9VH07","RUVB1_DROME"
"CG4046","FBgn0034743","Drosophila melanogaster","Q9W237","RS16_DROME"
"CG4083","FBgn0017572","Drosophila melanogaster","P91891","MO25_DROME"
"CG4084","FBgn0011297","Drosophila melanogaster","P82149","NT53_DROME"
"CG4084","FBgn0011297","Drosophila melanogaster","Q27333","NT56_DROME"
"CG4087","FBgn0002593","Drosophila melanogaster","P08570","RLA1_DROME"
"CG4105","FBgn0015035","Drosophila melanogaster","Q9VL92","CP4E3_DROME"
"CG4122","FBgn0004648","Drosophila melanogaster","P42787","CBPD_DROME"
"CG4122","FBgn0004648","Drosophila melanogaster","P42787","CBPD_DROME"
"CG4122","FBgn0004648","Drosophila melanogaster","P42787","CBPD_DROME"
"CG4122","FBgn0004648","Drosophila melanogaster","P42787","CBPD_DROME"
"CG4122","FBgn0004648","Drosophila melanogaster","P42787","CBPD_DROME"
"CG4122","FBgn0004648","Drosophila melanogaster","P42787","CBPD_DROME"
"CG4122","FBgn0004648","Drosophila melanogaster","P42787","CBPD_DROME"
"CG4122","FBgn0004648","Drosophila melanogaster","P42787","CBPD_DROME"
"CG4125","FBgn0003285","Drosophila melanogaster","Q08180","ICCR_DROME"
"CG4147","FBgn0001218","Drosophila melanogaster","P29844","HSP7C_DROME"
"CG4153","FBgn0004926","Drosophila melanogaster","P41375","IF2B_DROME"
"CG4173","FBgn0014029","Drosophila melanogaster","P54359","SEPT2_DROME"
"CG4183","FBgn0001225","Drosophila melanogaster","P02517","HSP26_DROME"
"CG4214","FBgn0011708","Drosophila melanogaster","Q24509","STX5_DROME"
"CG42275","FBgn0259170","Drosophila melanogaster","P53624","MA121_DROME"
"CG42275","FBgn0259170","Drosophila melanogaster","P53625","MA122_DROME"
"CG42309","FBgn0259209","Drosophila melanogaster","P53777","MLP1_DROME"
"CG4254","FBgn0011726","Drosophila melanogaster","P45594","CADF_DROME"
"CG4260","FBgn0264855","Drosophila melanogaster","P91926","AP2A_DROME"
"CG4260","FBgn0264855","Drosophila melanogaster","P91926","AP2A_DROME"
"CG4262","FBgn0260400","Drosophila melanogaster","P16914","ELAV_DROME"
"CG4262","FBgn0260400","Drosophila melanogaster","P16914","ELAV_DROME"
"CG4264","FBgn0001219","Drosophila melanogaster","P11147","HSP7D_DROME"
"CG4280","FBgn0015924","Drosophila melanogaster","Q27367","CRQ_DROME"
"CG4307","FBgn0016691","Drosophila melanogaster","Q24439","ATPO_DROME"
"CG4337","FBgn0010438","Drosophila melanogaster","P54622","SSBP_DROME"
"CG43398","FBgn0263289","Drosophila melanogaster","Q7KRY7","LAP4_DROME"
"CG43398","FBgn0263289","Drosophila melanogaster","Q7KRY7","LAP4_DROME"
"CG43398","FBgn0263289","Drosophila melanogaster","Q7KRY7","LAP4_DROME"
"CG43398","FBgn0263289","Drosophila melanogaster","Q7KRY7","LAP4_DROME"
"CG43398","FBgn0263289","Drosophila melanogaster","Q7KRY7","LAP4_DROME"
"CG43398","FBgn0263289","Drosophila melanogaster","Q7KRY7","LAP4_DROME"
"CG43398","FBgn0263289","Drosophila melanogaster","Q7KRY7","LAP4_DROME"
"CG43398","FBgn0263289","Drosophila melanogaster","Q7KRY7","LAP4_DROME"
"CG43398","FBgn0263289","Drosophila melanogaster","Q7KRY7","LAP4_DROME"
"CG43398","FBgn0263289","Drosophila melanogaster","Q7KRY7","LAP4_DROME"
"CG43443","FBgn0263391","Drosophila melanogaster","Q02645","HTS_DROME"
"CG43443","FBgn0263391","Drosophila melanogaster","Q02645","HTS_DROME"
"CG43443","FBgn0263391","Drosophila melanogaster","Q02645","HTS_DROME"
"CG43443","FBgn0263391","Drosophila melanogaster","Q02645","HTS_DROME"
"CG43664","FBgn0263755","Drosophila melanogaster","P45975","SUV39_DROME"
"CG43664","FBgn0263755","Drosophila melanogaster","Q24208","IF2G_DROME"
"CG43664","FBgn0263755","Drosophila melanogaster","Q24208","IF2G_DROME"
"CG43758","FBgn0264089","Drosophila melanogaster","P24014","SLIT_DROME"
"CG43758","FBgn0264089","Drosophila melanogaster","P24014","SLIT_DROME"
"CG43758","FBgn0264089","Drosophila melanogaster","P24014","SLIT_DROME"
"CG4376","FBgn0000667","Drosophila melanogaster","P18091","ACTN_DROME"
"CG4376","FBgn0000667","Drosophila melanogaster","P18091","ACTN_DROME"
"CG4376","FBgn0000667","Drosophila melanogaster","P18091","ACTN_DROME"
"CG4376","FBgn0000667","Drosophila melanogaster","P18091","ACTN_DROME"
"CG4376","FBgn0000667","Drosophila melanogaster","P18091","ACTN_DROME"
"CG43782","FBgn0264307","Drosophila melanogaster","Q9VSR3","ORB2_DROME"
"CG4406","FBgn0023545","Drosophila melanogaster","Q8T4E1","GPI8_DROME"
"CG4412","FBgn0016119","Drosophila melanogaster","Q24407","ATP5J_DROME"
"CG44128","FBgn0264959","Drosophila melanogaster","Q9V9J3","SRC42_DROME"
"CG4445","FBgn0027558","Drosophila melanogaster","Q9Y117","GALT3_DROME"
"CG4464","FBgn0010412","Drosophila melanogaster","P39018","RS19A_DROME"
"CG4466","FBgn0001226","Drosophila melanogaster","P02518","HSP27_DROME"
"CG4475","FBgn0020415","Drosophila melanogaster","Q9V3D4","IDGF2_DROME"
"CG4535","FBgn0029174","Drosophila melanogaster","Q9VL78","FKB59_DROME"
"CG4589","FBgn0019886","Drosophila melanogaster","P91927","A60DA_DROME"
"CG4590","FBgn0027108","Drosophila melanogaster","Q9V427","INX2_DROME"
"CG4609","FBgn0014163","Drosophila melanogaster","Q95RI5","FAXC_DROME"
"CG4634","FBgn0016687","Drosophila melanogaster","O77460","IPYR_DROME"
"CG4651","FBgn0011272","Drosophila melanogaster","P41126","RL13_DROME"
"CG4666","FBgn0029838","Drosophila melanogaster","Q9W440","THEM6_DROME"
"CG4679","FBgn0033816","Drosophila melanogaster","A1Z9A8","PTCD3_DROME"
"CG4692","FBgn0035032","Drosophila melanogaster","Q9W141","ATPK_DROME"
"CG4692","FBgn0035032","Drosophila melanogaster","Q9W141","ATPK_DROME"
"CG4700","FBgn0011260","Drosophila melanogaster","Q24323","SEM2A_DROME"
"CG4700","FBgn0011260","Drosophila melanogaster","Q24323","SEM2A_DROME"
"CG4700","FBgn0011260","Drosophila melanogaster","Q24323","SEM2A_DROME"
"CG4700","FBgn0011260","Drosophila melanogaster","Q24323","SEM2A_DROME"
"CG4747","FBgn0043456","Drosophila melanogaster","Q8T079","GLYR1_DROME"
"CG4780","FBgn0260856","Drosophila melanogaster","Q9VRL2","GOSR2_DROME"
"CG4799","FBgn0011823","Drosophila melanogaster","P52295","IMA_DROME"
"CG4800","FBgn0037874","Drosophila melanogaster","Q9VGS2","TCTP_DROME"
"CG4863","FBgn0020910","Drosophila melanogaster","O16797","RL3_DROME"
"CG4863","FBgn0020910","Drosophila melanogaster","O16797","RL3_DROME"
"CG4863","FBgn0020910","Drosophila melanogaster","O16797","RL3_DROME"
"CG4863","FBgn0020910","Drosophila melanogaster","O16797","RL3_DROME"
"CG4878","FBgn0034237","Drosophila melanogaster","Q0E940","EIF3B_DROME"
"CG4897","FBgn0005593","Drosophila melanogaster","P32100","RL7_DROME"
"CG4898","FBgn0003721","Drosophila melanogaster","P06754","TPM1_DROME"
"CG4898","FBgn0003721","Drosophila melanogaster","P06754","TPM1_DROME"
"CG4898","FBgn0003721","Drosophila melanogaster","P06754","TPM1_DROME"
"CG4898","FBgn0003721","Drosophila melanogaster","P06754","TPM1_DROME"
"CG4898","FBgn0003721","Drosophila melanogaster","P06754","TPM1_DROME"
"CG4898","FBgn0003721","Drosophila melanogaster","P49455","TPM4_DROME"
"CG4898","FBgn0003721","Drosophila melanogaster","P49455","TPM4_DROME"
"CG4912","FBgn0032198","Drosophila melanogaster","Q9VL18","EF1D_DROME"
"CG4912","FBgn0032198","Drosophila melanogaster","Q9VL18","EF1D_DROME"
"CG4916","FBgn0004419","Drosophila melanogaster","P23128","DDX6_DROME"
"CG4916","FBgn0004419","Drosophila melanogaster","P23128","DDX6_DROME"
"CG4918","FBgn0003274","Drosophila melanogaster","P05389","RLA2_DROME"
"CG4931","FBgn0038320","Drosophila melanogaster","Q9VF87","CYFIP_DROME"
"CG4954","FBgn0034258","Drosophila melanogaster","A1ZAX1","EIF3C_DROME"
"CG5065","FBgn0034145","Drosophila melanogaster","A1ZAI5","FACR1_DROME"
"CG5092","FBgn0021796","Drosophila melanogaster","Q9VK45","TOR_DROME"
"CG5110","FBgn0032642","Drosophila melanogaster","Q9VJD2","LTOR3_DROME"
"CG5119","FBgn0265297","Drosophila melanogaster","P21187","PABP_DROME"
"CG5183","FBgn0022268","Drosophila melanogaster","O76767","ERD2_DROME"
"CG5189","FBgn0034350","Drosophila melanogaster","Q9V8I2","LTOR2_DROME"
"CG5210","FBgn0013763","Drosophila melanogaster","Q23997","C5210_DROME"
"CG5227","FBgn0021764","Drosophila melanogaster","O97394","SDK_DROME"
"CG5227","FBgn0021764","Drosophila melanogaster","O97394","SDK_DROME"
"CG5258","FBgn0029148","Drosophila melanogaster","Q9V3U2","NHP2_DROME"
"CG5266","FBgn0086134","Drosophila melanogaster","P40301","PSA2_DROME"
"CG5271","FBgn0003942","Drosophila melanogaster","P15357","RS27A_DROME"
"CG5289","FBgn0015282","Drosophila melanogaster","P48601","PRS4_DROME"
"CG5320","FBgn0001098","Drosophila melanogaster","P54385","DHE3_DROME"
"CG5320","FBgn0001098","Drosophila melanogaster","P54385","DHE3_DROME"
"CG5371","FBgn0011703","Drosophila melanogaster","P48591","RIR1_DROME"
"CG5374","FBgn0003676","Drosophila melanogaster","P12613","TCPA_DROME"
"CG5382","FBgn0038950","Drosophila melanogaster","Q9VD26","ZFPL1_DROME"
"CG5394","FBgn0005674","Drosophila melanogaster","P28668","SYEP_DROME"
"CG5394","FBgn0005674","Drosophila melanogaster","P28668","SYEP_DROME"
