Name,Experiment,Tag,Gradient.fraction,Density
TL1,1,TMT126,2,1.1914
TL1,1,TMT127N,3,1.162
TL1,1,TMT127C,4 and 5 pooled,1.1442
TL1,1,TMT128N,6 and 7 pooled,1.1272
TL1,1,TMT128C,8 and 9 pooled,1.1148
TL1,1,TMT129N,10 and 11 pooled,1.1026
TL1,1,TMT129C,12 and 13 pooled,1.0927
TL1,1,TMT130N,14 to 17 pooled,1.079
TL1,1,TMT130C,18 to 23 pooled,1.055
TL1,1,TMT131,soluble,1.03
TL2,2,TMT126,1 to 3 pooled,1.2152
TL2,2,TMT127N,4,1.1515
TL2,2,TMT127C,5,1.1402
TL2,2,TMT128N,6,1.1323
TL2,2,TMT128C,7,1.1244
TL2,2,TMT129N,8,1.1176
TL2,2,TMT129C,9 and 10 pooled,1.1091
TL2,2,TMT130N,11 and 12 pooled,1.0984
TL2,2,TMT130C,13 to 23 pooled,1.0695
TL2,2,TMT131,soluble,1.03
TL3,3,TMT126,1 and 2 pooled,1.2463
TL3,3,TMT127N,3,1.1756
TL3,3,TMT127C,4,1.1543
TL3,3,TMT128N,5,1.1425
TL3,3,TMT128C,6 and 7 pooled,1.1295
TL3,3,TMT129N,8 and 9 pooled,1.1145
TL3,3,TMT129C,10 and 11 pooled,1.1021
TL3,3,TMT130N,12 to 15 pooled,1.0859
TL3,3,TMT130C,16 to 23 pooled,1.0609
TL3,3,TMT131,soluble,1.03